state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Arkansas,AR,Monroe,5095,Democrat,Bernie Sanders,265,0.296
Arkansas,AR,Montgomery,5097,Republican,Donald Trump,320,0.416
Arkansas,AR,Montgomery,5097,Republican,Ted Cruz,107,0.268
Arkansas,AR,Montgomery,5097,Republican,Marco Rubio,226,0.178
Arkansas,AR,Montgomery,5097,Republican,Ben Carson,2,0.062
Arkansas,AR,Montgomery,5097,Republican,John Kasich,7,0.042
Arkansas,AR,Montgomery,5097,Democrat,Hillary Clinton,11584,0.66
Arkansas,AR,Montgomery,5097,Democrat,Bernie Sanders,4269,0.296
Arkansas,AR,Nevada,5099,Republican,Ted Cruz,14624,0.359
Arkansas,AR,Nevada,5099,Republican,Donald Trump,44231,0.338
Arkansas,AR,Nevada,5099,Republican,Marco Rubio,3183,0.187
Arkansas,AR,Nevada,5099,Republican,Ben Carson,7257,0.066
Arkansas,AR,Nevada,5099,Republican,John Kasich,1090,0.016
Arkansas,AR,Nevada,5099,Democrat,Hillary Clinton,1,0.592
Arkansas,AR,Nevada,5099,Democrat,Bernie Sanders,370,0.28
Arkansas,AR,Newton,5101,Republican,Donald Trump,3812,0.385
Arkansas,AR,Newton,5101,Republican,Marco Rubio,603,0.283
Arkansas,AR,Newton,5101,Republican,Ted Cruz,55,0.213
Arkansas,AR,Newton,5101,Republican,Ben Carson,139,0.052
Arkansas,AR,Newton,5101,Republican,John Kasich,342,0.03
Arkansas,AR,Newton,5101,Democrat,Bernie Sanders,29,0.516
Arkansas,AR,Newton,5101,Democrat,Hillary Clinton,8198,0.469
Arkansas,AR,Ouachita,5103,Republican,Donald Trump,827,0.367
Arkansas,AR,Ouachita,5103,Republican,Ted Cruz,18536,0.288
Arkansas,AR,Ouachita,5103,Republican,Marco Rubio,203,0.242
Arkansas,AR,Ouachita,5103,Republican,Ben Carson,1561,0.057
Arkansas,AR,Ouachita,5103,Republican,John Kasich,1333,0.022
Arkansas,AR,Ouachita,5103,Democrat,Hillary Clinton,15914,0.751
Arkansas,AR,Ouachita,5103,Democrat,Bernie Sanders,1234,0.188
Arkansas,AR,Perry,5105,Republican,Ted Cruz,1014,0.378
Arkansas,AR,Perry,5105,Republican,Donald Trump,2078,0.363
Arkansas,AR,Perry,5105,Republican,Marco Rubio,632,0.165
Arkansas,AR,Perry,5105,Republican,Ben Carson,2941,0.048
Arkansas,AR,Perry,5105,Republican,John Kasich,30,0.021
Arkansas,AR,Perry,5105,Democrat,Hillary Clinton,1161,0.529
Arkansas,AR,Perry,5105,Democrat,Bernie Sanders,62,0.349
Arkansas,AR,Phillips,5107,Republican,Donald Trump,502,0.566
Arkansas,AR,Phillips,5107,Republican,Marco Rubio,352,0.176
Arkansas,AR,Phillips,5107,Republican,Ted Cruz,29,0.172
Arkansas,AR,Phillips,5107,Republican,Ben Carson,46,0.044
Arkansas,AR,Phillips,5107,Republican,John Kasich,3308,0.017
Arkansas,AR,Phillips,5107,Democrat,Hillary Clinton,389,0.754
Arkansas,AR,Phillips,5107,Democrat,Bernie Sanders,89,0.183
Arkansas,AR,Pike,5109,Republican,Donald Trump,166,0.339
Arkansas,AR,Pike,5109,Republican,Ted Cruz,307,0.333
Arkansas,AR,Pike,5109,Republican,Marco Rubio,2844,0.217
Arkansas,AR,Pike,5109,Republican,Ben Carson,75,0.072
Arkansas,AR,Pike,5109,Republican,John Kasich,149,0.02
Arkansas,AR,Pike,5109,Democrat,Hillary Clinton,14,0.642
Arkansas,AR,Pike,5109,Democrat,Bernie Sanders,2464,0.299
Arkansas,AR,Poinsett,5111,Republican,Donald Trump,1501,0.385
Arkansas,AR,Poinsett,5111,Republican,Ted Cruz,808,0.335
Arkansas,AR,Poinsett,5111,Republican,Marco Rubio,370,0.176
Arkansas,AR,Poinsett,5111,Republican,Ben Carson,214,0.058
Arkansas,AR,Poinsett,5111,Republican,John Kasich,95,0.026
Arkansas,AR,Poinsett,5111,Democrat,Hillary Clinton,118,0.724
Arkansas,AR,Poinsett,5111,Democrat,Bernie Sanders,2746,0.23
Arkansas,AR,Polk,5113,Republican,Donald Trump,0,0.403
Arkansas,AR,Polk,5113,Republican,Ted Cruz,7022,0.222
Arkansas,AR,Polk,5113,Republican,Marco Rubio,22909,0.221
Arkansas,AR,Polk,5113,Republican,Ben Carson,2870,0.066
Arkansas,AR,Polk,5113,Republican,John Kasich,1026,0.033
Arkansas,AR,Polk,5113,Democrat,Hillary Clinton,55,0.544
Arkansas,AR,Polk,5113,Democrat,Bernie Sanders,19,0.424
Arkansas,AR,Pope,5115,Republican,Donald Trump,171,0.321
Arkansas,AR,Pope,5115,Republican,Ted Cruz,2352,0.314
Arkansas,AR,Pope,5115,Republican,Marco Rubio,43375,0.244
Arkansas,AR,Pope,5115,Republican,Ben Carson,284,0.065
Arkansas,AR,Pope,5115,Republican,John Kasich,269,0.029
Arkansas,AR,Pope,5115,Democrat,Hillary Clinton,3830,0.576
Arkansas,AR,Pope,5115,Democrat,Bernie Sanders,715,0.4
Arkansas,AR,Prairie,5117,Republican,Ted Cruz,6,0.425
Arkansas,AR,Prairie,5117,Republican,Donald Trump,17,0.297
Arkansas,AR,Prairie,5117,Republican,Marco Rubio,1720,0.21
Arkansas,AR,Prairie,5117,Republican,Ben Carson,38507,0.04
Arkansas,AR,Prairie,5117,Republican,John Kasich,426,0.01
Arkansas,AR,Prairie,5117,Democrat,Hillary Clinton,31,0.517
Arkansas,AR,Prairie,5117,Democrat,Bernie Sanders,7645,0.357
Arkansas,AR,Pulaski,5119,Republican,Marco Rubio,2147,0.352
Arkansas,AR,Pulaski,5119,Republican,Ted Cruz,1070,0.278
Arkansas,AR,Pulaski,5119,Republican,Donald Trump,106,0.256
Arkansas,AR,Pulaski,5119,Republican,John Kasich,1890,0.055
Arkansas,AR,Pulaski,5119,Republican,Ben Carson,29,0.044
Arkansas,AR,Pulaski,5119,Democrat,Hillary Clinton,63,0.764
Arkansas,AR,Pulaski,5119,Democrat,Bernie Sanders,8457,0.229
Arkansas,AR,Randolph,5121,Republican,Donald Trump,230,0.37
Arkansas,AR,Randolph,5121,Republican,Ted Cruz,665,0.33
Arkansas,AR,Randolph,5121,Republican,Marco Rubio,1073,0.191
Arkansas,AR,Randolph,5121,Republican,Ben Carson,1398,0.056
Arkansas,AR,Randolph,5121,Republican,John Kasich,159,0.031
Arkansas,AR,Randolph,5121,Democrat,Hillary Clinton,26,0.619
Arkansas,AR,Randolph,5121,Democrat,Bernie Sanders,621,0.333
Arkansas,AR,Saline,5125,Republican,Ted Cruz,267,0.331
Arkansas,AR,Saline,5125,Republican,Donald Trump,3676,0.306
Arkansas,AR,Saline,5125,Republican,Marco Rubio,863,0.27
Arkansas,AR,Saline,5125,Republican,Ben Carson,181,0.046
Arkansas,AR,Saline,5125,Republican,John Kasich,2236,0.032
Arkansas,AR,Saline,5125,Democrat,Hillary Clinton,9,0.674
Arkansas,AR,Saline,5125,Democrat,Bernie Sanders,1050,0.311
Arkansas,AR,Scott,5127,Republican,Donald Trump,908,0.427
Arkansas,AR,Scott,5127,Republican,Ted Cruz,8281,0.289
Arkansas,AR,Scott,5127,Republican,Marco Rubio,443,0.169
Arkansas,AR,Scott,5127,Republican,Ben Carson,585,0.055
Arkansas,AR,Scott,5127,Republican,John Kasich,1140,0.03
Arkansas,AR,Scott,5127,Democrat,Hillary Clinton,561,0.636
Arkansas,AR,Scott,5127,Democrat,Bernie Sanders,10,0.314
Arkansas,AR,Searcy,5129,Republican,Donald Trump,213,0.39
Arkansas,AR,Searcy,5129,Republican,Ted Cruz,33,0.354
Arkansas,AR,Searcy,5129,Republican,Marco Rubio,16,0.138
Arkansas,AR,Searcy,5129,Republican,Ben Carson,1433,0.061
Arkansas,AR,Searcy,5129,Republican,John Kasich,250,0.027
Arkansas,AR,Searcy,5129,Democrat,Hillary Clinton,655,0.564
Arkansas,AR,Searcy,5129,Democrat,Bernie Sanders,723,0.418
Arkansas,AR,Sebastian,5131,Republican,Donald Trump,2427,0.323
Arkansas,AR,Sebastian,5131,Republican,Ted Cruz,1001,0.305
Arkansas,AR,Sebastian,5131,Republican,Marco Rubio,72,0.24
Arkansas,AR,Sebastian,5131,Republican,John Kasich,228,0.054
Arkansas,AR,Sebastian,5131,Republican,Ben Carson,476,0.053
Arkansas,AR,Sebastian,5131,Democrat,Hillary Clinton,389,0.611
Arkansas,AR,Sebastian,5131,Democrat,Bernie Sanders,86,0.368
Arkansas,AR,Sevier,5133,Republican,Donald Trump,476,0.382
Arkansas,AR,Sevier,5133,Republican,Ted Cruz,841,0.319
Arkansas,AR,Sevier,5133,Republican,Marco Rubio,770,0.163
Arkansas,AR,Sevier,5133,Republican,Ben Carson,3653,0.091
Arkansas,AR,Sevier,5133,Republican,John Kasich,12,0.023
Arkansas,AR,Sevier,5133,Democrat,Hillary Clinton,789,0.623
Arkansas,AR,Sevier,5133,Democrat,Bernie Sanders,9,0.304
Arkansas,AR,Sharp,5135,Republican,Donald Trump,1,0.419
Arkansas,AR,Sharp,5135,Republican,Ted Cruz,137,0.244
Arkansas,AR,Sharp,5135,Republican,Marco Rubio,6456,0.195
Arkansas,AR,Sharp,5135,Republican,Ben Carson,247,0.079
Arkansas,AR,Sharp,5135,Republican,John Kasich,90,0.03
Arkansas,AR,Sharp,5135,Democrat,Hillary Clinton,3878,0.642
Arkansas,AR,Sharp,5135,Democrat,Bernie Sanders,714,0.31
Arkansas,AR,Stone,5137,Republican,Donald Trump,281,0.392
Arkansas,AR,Stone,5137,Republican,Ted Cruz,320,0.308
Arkansas,AR,Stone,5137,Republican,Marco Rubio,179,0.17
Arkansas,AR,Stone,5137,Republican,Ben Carson,8,0.077
Arkansas,AR,Stone,5137,Republican,John Kasich,44,0.024
Arkansas,AR,Stone,5137,Democrat,Hillary Clinton,3701,0.544
Arkansas,AR,Stone,5137,Democrat,Bernie Sanders,23,0.419
Arkansas,AR,Union,5139,Republican,Donald Trump,1469,0.352
Arkansas,AR,Union,5139,Republican,Ted Cruz,102,0.337
Arkansas,AR,Union,5139,Republican,Marco Rubio,15,0.196
Arkansas,AR,Union,5139,Republican,Ben Carson,749,0.055
Arkansas,AR,Union,5139,Republican,John Kasich,415,0.026
Arkansas,AR,Union,5139,Democrat,Hillary Clinton,781,0.503
Arkansas,AR,Union,5139,Democrat,Bernie Sanders,266,0.33
Arkansas,AR,Van Buren,5141,Republican,Donald Trump,107,0.375
Arkansas,AR,Van Buren,5141,Republican,Ted Cruz,190,0.3
Arkansas,AR,Van Buren,5141,Republican,Marco Rubio,10461,0.211
Arkansas,AR,Van Buren,5141,Republican,Ben Carson,6,0.051
Arkansas,AR,Van Buren,5141,Republican,John Kasich,25,0.034
Arkansas,AR,Van Buren,5141,Democrat,Hillary Clinton,1946,0.607
Arkansas,AR,Van Buren,5141,Democrat,Bernie Sanders,226,0.344
Arkansas,AR,Washington,5143,Republican,Ted Cruz,445,0.307
Arkansas,AR,Washington,5143,Republican,Marco Rubio,8,0.301
Arkansas,AR,Washington,5143,Republican,Donald Trump,97,0.275
Arkansas,AR,Washington,5143,Republican,Ben Carson,33,0.053
Arkansas,AR,Washington,5143,Republican,John Kasich,787,0.045
Arkansas,AR,Washington,5143,Democrat,Hillary Clinton,1933,0.513
Arkansas,AR,Washington,5143,Democrat,Bernie Sanders,12542,0.479
Arkansas,AR,White,5145,Republican,Ted Cruz,893,0.341
Arkansas,AR,White,5145,Republican,Donald Trump,1465,0.316
Arkansas,AR,White,5145,Republican,Marco Rubio,48,0.223
Arkansas,AR,White,5145,Republican,Ben Carson,1039,0.076
Arkansas,AR,White,5145,Republican,John Kasich,7,0.023
Arkansas,AR,White,5145,Democrat,Hillary Clinton,749,0.69
Arkansas,AR,White,5145,Democrat,Bernie Sanders,790,0.279
Arkansas,AR,Woodruff,5147,Republican,Donald Trump,561,0.442
Arkansas,AR,Woodruff,5147,Republican,Ted Cruz,3314,0.289
Arkansas,AR,Woodruff,5147,Republican,Marco Rubio,51,0.156
Arkansas,AR,Woodruff,5147,Republican,Ben Carson,344,0.068
Arkansas,AR,Woodruff,5147,Republican,John Kasich,1,0.017
Arkansas,AR,Woodruff,5147,Democrat,Hillary Clinton,57,0.662
Arkansas,AR,Woodruff,5147,Democrat,Bernie Sanders,552,0.224
Arkansas,AR,Yell,5149,Republican,Donald Trump,1435,0.376
Arkansas,AR,Yell,5149,Republican,Ted Cruz,711,0.324
Arkansas,AR,Yell,5149,Republican,Marco Rubio,18,0.205
Arkansas,AR,Yell,5149,Republican,Ben Carson,305,0.056
Arkansas,AR,Yell,5149,Republican,John Kasich,36,0.019
Arkansas,AR,Yell,5149,Democrat,Hillary Clinton,309,0.582
Arkansas,AR,Yell,5149,Democrat,Bernie Sanders,1306,0.348
Colorado,CO,Adams,8001,Democrat,Bernie Sanders,3698,0.61
Colorado,CO,Adams,8001,Democrat,Hillary Clinton,953,0.383
Colorado,CO,Alamosa,8003,Democrat,Bernie Sanders,1,0.63
Colorado,CO,Alamosa,8003,Democrat,Hillary Clinton,168,0.34
Colorado,CO,Arapahoe,8005,Democrat,Bernie Sanders,121,0.53
Colorado,CO,Arapahoe,8005,Democrat,Hillary Clinton,3511,0.463
Colorado,CO,Archuleta,8007,Democrat,Bernie Sanders,83,0.642
Colorado,CO,Archuleta,8007,Democrat,Hillary Clinton,2004,0.342
Colorado,CO,Baca,8009,Democrat,Hillary Clinton,19,0.319
Colorado,CO,Baca,8009,Democrat,Bernie Sanders,37,0.298
Colorado,CO,Bent,8011,Democrat,Hillary Clinton,541,0.481
Colorado,CO,Bent,8011,Democrat,Bernie Sanders,363,0.444
Colorado,CO,Boulder,8013,Democrat,Bernie Sanders,169,0.636
Colorado,CO,Boulder,8013,Democrat,Hillary Clinton,74,0.363
Colorado,CO,Broomfield,8014,Democrat,Bernie Sanders,405,0.632
Colorado,CO,Broomfield,8014,Democrat,Hillary Clinton,1042,0.352
Colorado,CO,Chaffee,8015,Democrat,Bernie Sanders,537,0.652
Colorado,CO,Chaffee,8015,Democrat,Hillary Clinton,2469,0.339
Colorado,CO,Cheyenne,8017,Democrat,Hillary Clinton,1152,0.5
Colorado,CO,Cheyenne,8017,Democrat,Bernie Sanders,587,0.4
Colorado,CO,Clear Creek,8019,Democrat,Bernie Sanders,72,0.553
Colorado,CO,Clear Creek,8019,Democrat,Hillary Clinton,4961,0.442
Colorado,CO,Conejos,8021,Democrat,Hillary Clinton,209,0.584
Colorado,CO,Conejos,8021,Democrat,Bernie Sanders,774,0.4
Colorado,CO,Costilla,8023,Democrat,Hillary Clinton,3286,0.566
Colorado,CO,Costilla,8023,Democrat,Bernie Sanders,0,0.204
Colorado,CO,Crowley,8025,Democrat,Bernie Sanders,504,0.5
Colorado,CO,Crowley,8025,Democrat,Hillary Clinton,647,0.469
Colorado,CO,Custer,8027,Democrat,Bernie Sanders,532,0.57
Colorado,CO,Custer,8027,Democrat,Hillary Clinton,477,0.43
Colorado,CO,Delta,8029,Democrat,Bernie Sanders,391,0.696
Colorado,CO,Delta,8029,Democrat,Hillary Clinton,20146,0.295
Colorado,CO,Denver,8031,Democrat,Bernie Sanders,2139,0.544
Colorado,CO,Denver,8031,Democrat,Hillary Clinton,63199,0.45
Colorado,CO,Dolores,8033,Democrat,Bernie Sanders,27,0.629
Colorado,CO,Dolores,8033,Democrat,Hillary Clinton,4381,0.229
Colorado,CO,Douglas,8035,Democrat,Bernie Sanders,1142,0.497
Colorado,CO,Douglas,8035,Democrat,Hillary Clinton,35,0.496
Colorado,CO,Eagle,8037,Democrat,Bernie Sanders,6176,0.637
Colorado,CO,Eagle,8037,Democrat,Hillary Clinton,1501,0.352
Colorado,CO,Elbert,8039,Democrat,Bernie Sanders,9854,0.613
Colorado,CO,Elbert,8039,Democrat,Hillary Clinton,727,0.379
Colorado,CO,El Paso,8041,Democrat,Bernie Sanders,227,0.611
Colorado,CO,El Paso,8041,Democrat,Hillary Clinton,198,0.384
Colorado,CO,Fremont,8043,Democrat,Bernie Sanders,189,0.571
Colorado,CO,Fremont,8043,Democrat,Hillary Clinton,70,0.412
Colorado,CO,Garfield,8045,Democrat,Bernie Sanders,113,0.615
Colorado,CO,Garfield,8045,Democrat,Hillary Clinton,489,0.368
Colorado,CO,Gilpin,8047,Democrat,Bernie Sanders,220,0.698
Colorado,CO,Gilpin,8047,Democrat,Hillary Clinton,146,0.298
Colorado,CO,Grand,8049,Democrat,Bernie Sanders,74,0.638
Colorado,CO,Grand,8049,Democrat,Hillary Clinton,6,0.321
Colorado,CO,Gunnison,8051,Democrat,Bernie Sanders,738,0.763
Colorado,CO,Gunnison,8051,Democrat,Hillary Clinton,259,0.224
Colorado,CO,Hinsdale,8053,Democrat,Bernie Sanders,249,0.714
Colorado,CO,Hinsdale,8053,Democrat,Hillary Clinton,442,0.214
Colorado,CO,Huerfano,8055,Democrat,Bernie Sanders,625,0.584
Colorado,CO,Huerfano,8055,Democrat,Hillary Clinton,305,0.362
Colorado,CO,Jackson,8057,Democrat,Hillary Clinton,711,0.556
Colorado,CO,Jackson,8057,Democrat,Bernie Sanders,397,0.444
Colorado,CO,Jefferson,8059,Democrat,Bernie Sanders,863,0.598
Colorado,CO,Jefferson,8059,Democrat,Hillary Clinton,1427,0.396
Colorado,CO,Kiowa,8061,Democrat,Hillary Clinton,236,0.455
Colorado,CO,Kiowa,8061,Democrat,Bernie Sanders,1316,0.182
Colorado,CO,Kit Carson,8063,Democrat,Bernie Sanders,242,0.593
Colorado,CO,Kit Carson,8063,Democrat,Hillary Clinton,1139,0.407
Colorado,CO,Lake,8065,Democrat,Bernie Sanders,6,0.73
Colorado,CO,Lake,8065,Democrat,Hillary Clinton,164,0.235
Colorado,CO,La Plata,8067,Democrat,Bernie Sanders,18460,0.641
Colorado,CO,La Plata,8067,Democrat,Hillary Clinton,390,0.358
Colorado,CO,Larimer,8069,Democrat,Bernie Sanders,1813,0.672
Colorado,CO,Larimer,8069,Democrat,Hillary Clinton,193,0.326
Colorado,CO,Las Animas,8071,Democrat,Bernie Sanders,107,0.512
Colorado,CO,Las Animas,8071,Democrat,Hillary Clinton,160,0.386
Colorado,CO,Lincoln,8073,Democrat,Hillary Clinton,12536,0.476
Colorado,CO,Lincoln,8073,Democrat,Bernie Sanders,442,0.333
Colorado,CO,Logan,8075,Democrat,Hillary Clinton,632,0.513
Colorado,CO,Logan,8075,Democrat,Bernie Sanders,750,0.467
Colorado,CO,Mesa,8077,Democrat,Bernie Sanders,10,0.573
Colorado,CO,Mesa,8077,Democrat,Hillary Clinton,27,0.414
Colorado,CO,Mineral,8079,Democrat,Bernie Sanders,11,0.595
Colorado,CO,Mineral,8079,Democrat,Hillary Clinton,62,0.381
Colorado,CO,Moffat,8081,Democrat,Bernie Sanders,198,0.56
Colorado,CO,Moffat,8081,Democrat,Hillary Clinton,1252,0.42
Colorado,CO,Montezuma,8083,Democrat,Bernie Sanders,71,0.673
Colorado,CO,Montezuma,8083,Democrat,Hillary Clinton,302,0.324
Colorado,CO,Montrose,8085,Democrat,Bernie Sanders,968,0.549
Colorado,CO,Montrose,8085,Democrat,Hillary Clinton,92,0.447
Colorado,CO,Morgan,8087,Democrat,Bernie Sanders,267,0.554
Colorado,CO,Morgan,8087,Democrat,Hillary Clinton,98,0.446
Colorado,CO,Otero,8089,Democrat,Bernie Sanders,72,0.543
Colorado,CO,Otero,8089,Democrat,Hillary Clinton,8,0.451
Colorado,CO,Ouray,8091,Democrat,Bernie Sanders,84158,0.645
Colorado,CO,Ouray,8091,Democrat,Hillary Clinton,313,0.355
Colorado,CO,Park,8093,Democrat,Bernie Sanders,37,0.662
Colorado,CO,Park,8093,Democrat,Hillary Clinton,12115,0.338
Colorado,CO,Phillips,8095,Democrat,Bernie Sanders,194,0.563
Colorado,CO,Phillips,8095,Democrat,Hillary Clinton,27,0.344
Colorado,CO,Pitkin,8097,Democrat,Bernie Sanders,2269,0.547
Colorado,CO,Pitkin,8097,Democrat,Hillary Clinton,172,0.453
Colorado,CO,Prowers,8099,Democrat,Hillary Clinton,4721,0.69
Colorado,CO,Prowers,8099,Democrat,Bernie Sanders,1,0.31
Colorado,CO,Pueblo,8101,Democrat,Hillary Clinton,9375,0.517
Colorado,CO,Pueblo,8101,Democrat,Bernie Sanders,1099,0.467
Colorado,CO,Rio Blanco,8103,Democrat,Bernie Sanders,119,0.692
Colorado,CO,Rio Blanco,8103,Democrat,Hillary Clinton,457,0.308
Colorado,CO,Rio Grande,8105,Democrat,Bernie Sanders,767,0.546
Colorado,CO,Rio Grande,8105,Democrat,Hillary Clinton,1427,0.435
Colorado,CO,Routt,8107,Democrat,Bernie Sanders,4504,0.63
Colorado,CO,Routt,8107,Democrat,Hillary Clinton,233,0.357
Colorado,CO,Saguache,8109,Democrat,Bernie Sanders,207,0.811
Colorado,CO,Saguache,8109,Democrat,Hillary Clinton,2764,0.174
Colorado,CO,San Juan,8111,Democrat,Bernie Sanders,370,0.711
Colorado,CO,San Juan,8111,Democrat,Hillary Clinton,333,0.289
Colorado,CO,San Miguel,8113,Democrat,Bernie Sanders,4880,0.783
Colorado,CO,San Miguel,8113,Democrat,Hillary Clinton,462,0.212
Colorado,CO,Sedgwick,8115,Democrat,Hillary Clinton,938,0.619
Colorado,CO,Sedgwick,8115,Democrat,Bernie Sanders,0,0.381
Colorado,CO,Summit,8117,Democrat,Bernie Sanders,290,0.6
Colorado,CO,Summit,8117,Democrat,Hillary Clinton,12291,0.395
Colorado,CO,Teller,8119,Democrat,Bernie Sanders,163,0.622
Colorado,CO,Teller,8119,Democrat,Hillary Clinton,76,0.358
Colorado,CO,Washington,8121,Democrat,Bernie Sanders,66654,0.522
Colorado,CO,Washington,8121,Democrat,Hillary Clinton,303,0.435
Colorado,CO,Weld,8123,Democrat,Bernie Sanders,343,0.607
Colorado,CO,Weld,8123,Democrat,Hillary Clinton,1855,0.385
Colorado,CO,Yuma,8125,Democrat,Hillary Clinton,13836,0.536
Colorado,CO,Yuma,8125,Democrat,Bernie Sanders,34,0.393
Florida,FL,Alachua,12001,Republican,Donald Trump,2482,0.382
Florida,FL,Alachua,12001,Republican,Marco Rubio,1246,0.288
Florida,FL,Alachua,12001,Republican,Ted Cruz,690,0.215
Florida,FL,Alachua,12001,Republican,John Kasich,484,0.079
Florida,FL,Alachua,12001,Democrat,Hillary Clinton,1434,0.492
Florida,FL,Alachua,12001,Democrat,Bernie Sanders,242,0.488
Florida,FL,Baker,12003,Republican,Donald Trump,25,0.531
Florida,FL,Baker,12003,Republican,Ted Cruz,3493,0.238
Florida,FL,Baker,12003,Republican,Marco Rubio,76,0.189
Florida,FL,Baker,12003,Republican,John Kasich,5,0.017
Florida,FL,Baker,12003,Democrat,Bernie Sanders,91,0.474
Florida,FL,Baker,12003,Democrat,Hillary Clinton,862,0.385
Florida,FL,Bay,12005,Republican,Donald Trump,141,0.487
Florida,FL,Bay,12005,Republican,Ted Cruz,542,0.242
Florida,FL,Bay,12005,Republican,Marco Rubio,1248,0.197
Florida,FL,Bay,12005,Republican,John Kasich,54,0.048
Florida,FL,Bay,12005,Democrat,Hillary Clinton,8507,0.526
Florida,FL,Bay,12005,Democrat,Bernie Sanders,28121,0.417
Florida,FL,Bradford,12007,Republican,Donald Trump,141,0.495
Florida,FL,Bradford,12007,Republican,Ted Cruz,2,0.265
Florida,FL,Bradford,12007,Republican,Marco Rubio,844,0.192
Florida,FL,Bradford,12007,Republican,John Kasich,20244,0.026
Florida,FL,Bradford,12007,Democrat,Hillary Clinton,90,0.487
Florida,FL,Bradford,12007,Democrat,Bernie Sanders,4653,0.418
Florida,FL,Brevard,12009,Republican,Donald Trump,1788,0.463
Florida,FL,Brevard,12009,Republican,Marco Rubio,319,0.248
Florida,FL,Brevard,12009,Republican,Ted Cruz,45,0.197
Florida,FL,Brevard,12009,Republican,John Kasich,9106,0.064
Florida,FL,Brevard,12009,Democrat,Hillary Clinton,117,0.597
Florida,FL,Brevard,12009,Democrat,Bernie Sanders,9027,0.377
Florida,FL,Broward,12011,Republican,Donald Trump,132,0.493
Florida,FL,Broward,12011,Republican,Marco Rubio,6888,0.284
Florida,FL,Broward,12011,Republican,Ted Cruz,7817,0.129
Florida,FL,Broward,12011,Republican,John Kasich,4561,0.072
Florida,FL,Broward,12011,Democrat,Hillary Clinton,57,0.725
Florida,FL,Broward,12011,Democrat,Bernie Sanders,94,0.264
Florida,FL,Calhoun,12013,Republican,Donald Trump,192,0.453
Florida,FL,Calhoun,12013,Republican,Ted Cruz,8184,0.308
Florida,FL,Calhoun,12013,Republican,Marco Rubio,15894,0.178
Florida,FL,Calhoun,12013,Republican,John Kasich,145,0.023
Florida,FL,Calhoun,12013,Democrat,Bernie Sanders,170,0.452
Florida,FL,Calhoun,12013,Democrat,Hillary Clinton,930,0.362
Florida,FL,Charlotte,12015,Republican,Donald Trump,2460,0.548
Florida,FL,Charlotte,12015,Republican,Marco Rubio,5099,0.203
Florida,FL,Charlotte,12015,Republican,Ted Cruz,23,0.14
Florida,FL,Charlotte,12015,Republican,John Kasich,448,0.077
Florida,FL,Charlotte,12015,Democrat,Hillary Clinton,67,0.621
Florida,FL,Charlotte,12015,Democrat,Bernie Sanders,1305,0.354
Florida,FL,Citrus,12017,Republican,Donald Trump,752,0.55
Florida,FL,Citrus,12017,Republican,Marco Rubio,0,0.18
Florida,FL,Citrus,12017,Republican,Ted Cruz,3279,0.176
Florida,FL,Citrus,12017,Republican,John Kasich,86,0.062
Florida,FL,Citrus,12017,Democrat,Hillary Clinton,1643,0.563
Florida,FL,Citrus,12017,Democrat,Bernie Sanders,91,0.392
Florida,FL,Clay,12019,Republican,Donald Trump,1007,0.506
Florida,FL,Clay,12019,Republican,Marco Rubio,224,0.221
Florida,FL,Clay,12019,Republican,Ted Cruz,32,0.205
Florida,FL,Clay,12019,Republican,John Kasich,259,0.043
Florida,FL,Clay,12019,Democrat,Hillary Clinton,641,0.571
Florida,FL,Clay,12019,Democrat,Bernie Sanders,26,0.395
Florida,FL,Collier,12021,Republican,Donald Trump,57,0.461
Florida,FL,Collier,12021,Republican,Marco Rubio,412,0.239
Florida,FL,Collier,12021,Republican,Ted Cruz,1436,0.162
Florida,FL,Collier,12021,Republican,John Kasich,1273,0.108
Florida,FL,Collier,12021,Democrat,Hillary Clinton,1805,0.661
Florida,FL,Collier,12021,Democrat,Bernie Sanders,3578,0.319
Florida,FL,Columbia,12023,Republican,Donald Trump,25,0.48
Florida,FL,Columbia,12023,Republican,Ted Cruz,515,0.291
Florida,FL,Columbia,12023,Republican,Marco Rubio,355,0.171
Florida,FL,Columbia,12023,Republican,John Kasich,158,0.032
Florida,FL,Columbia,12023,Democrat,Hillary Clinton,3281,0.529
Florida,FL,Columbia,12023,Democrat,Bernie Sanders,35,0.386
Florida,FL,Dixie,12029,Republican,Donald Trump,10,0.634
Florida,FL,Dixie,12029,Republican,Ted Cruz,1093,0.201
Florida,FL,Dixie,12029,Republican,Marco Rubio,219,0.118
Florida,FL,Dixie,12029,Republican,John Kasich,677,0.018
Florida,FL,Dixie,12029,Democrat,Bernie Sanders,1049,0.451
Florida,FL,Dixie,12029,Democrat,Hillary Clinton,385,0.402
Florida,FL,Duval,12031,Republican,Donald Trump,1305,0.471
Florida,FL,Duval,12031,Republican,Marco Rubio,217,0.267
Florida,FL,Duval,12031,Republican,Ted Cruz,1004,0.179
Florida,FL,Duval,12031,Republican,John Kasich,173,0.051
Florida,FL,Duval,12031,Democrat,Hillary Clinton,5482,0.672
Florida,FL,Duval,12031,Democrat,Bernie Sanders,208,0.306
Florida,FL,Escambia,12033,Republican,Donald Trump,3379,0.417
Florida,FL,Escambia,12033,Republican,Marco Rubio,810,0.254
